CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20451,Santiago Apoala,1521,1464,1455,1214,2664,3801,3966,1756,4777,4279,2434,2148,3591,3924
20452,Santiago Apóstol,5517,6274,6643,5268,18115,8895,4724,11463,10823,12031,8382,8694,9088,8778
20453,Santiago Astata,7146,4402,5581,4818,4286,3194,2972,3961,3363,2981,6601,9445,6504,7509
20454,Santiago Atitlán,5785,7173,6779,8248,11610,10158,10719,10680,11720,9606,9458,12062,8194,7483
20455,Santiago Ayuquililla,1485,1706,926,392,1775,2052,1343,2623,1912,2094,2626,2176,2069,2076
20456,Santiago Cacaloxtepec,444,487,11,93,449,492,221,499,285,610,475,423,360,304
20457,Santiago Camotlán,2369,2923,2418,2969,3557,3843,3837,15145,14787,14252,13221,14388,12602,11304
20458,Santiago Comaltepec,9537,10720,9532,11918,12615,13715,14218,3847,4166,3326,2854,3260,2232,2356
20459,Santiago Chazumba,5107,7146,12474,12174,11733,12561,16909,21280,12718,21081,21375,21092,20039,22691
20460,Santiago Choápam,8574,19959,19376,8836,24077,21367,23653,16117,22371,28093,29651,28106,26716,26944
20461,Santiago del Río,1756,1540,1045,1400,4659,4338,4043,6461,5948,7407,6460,5294,4199,4294
20462,Santiago Huajolotitlán,11596,10033,6989,6913,9921,12777,10210,20723,17141,22007,15163,13368,11670,13751
20463,Santiago Huauclilla,1661,1597,1420,2156,2996,3691,3691,1522,4512,4089,2221,3206,3598,3822
20464,Santiago Ihuitlán Plumas,1337,581,407,296,963,1476,777,1158,1298,1593,348,1143,1507,1427
20465,Santiago Ixcuintepec,3113,3524,3405,8576,12340,4701,7427,6231,5552,6219,5064,3497,3502,3419
20466,Santiago Ixtayutla,8302,9322,8003,9798,11694,16199,16469,15817,17870,12879,15615,16957,18938,25072
20467,Santiago Jamiltepec,164525,152353,148046,116046,140080,191930,193415,214346,268767,263393,186872,234752,265605,382470
20468,Santiago Jocotepec,57731,118763,54316,65900,138198,62659,63027,67002,101392,93059,98938,94667,89865,87051
20469,Santiago Juxtlahuaca,11859,11269,5410,19431,15701,15903,14905,17831,14097,25842,19368,18472,14623,18450
20470,Santiago Lachiguiri,17083,22746,21457,57038,47121,34305,45673,41107,37606,33171,21573,14712,14968,15124
20471,Santiago Lalopa,592,874,799,909,1091,1251,1247,1302,1383,1140,873,1107,766,770
20472,Santiago Laollaga,5451,5433,8313,9611,11344,14292,14291,14170,12710,16427,13621,14588,15506,17755
20473,Santiago Laxopa,1382,804,1291,1471,1197,1650,1585,1430,1507,1990,1730,1669,1573,1826
20474,Santiago Llano Grande,13084,10992,6546,6309,7937,8590,8325,8881,9529,10837,24489,25578,22578,26184
20475,Santiago Matatlán,23155,6686,6067,6799,25684,14289,19201,10255,43135,71307,67685,55620,64209,65917
