CVEGEO,Nombre,PM_1995,PM_1996,PM_1997,PM_1998,PM_1999,PM_2000,PM_2001,PM_2002,PM_2003,PM_2004,PM_2005,PM_2006,PM_2007,PM_2008,PM_2009,PM_2010,PM_2011,PM_2012,PM_2013,PM_2014,PM_2015,PM_2016,promedio
20486,Villa Tejúpam de la Unión,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20487,Santiago Tenango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20488,Santiago Tepetlapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20489,Santiago Tetepec,6468,4830,1840,1451,9222,7740,3026,1926,3121,4775,0,0,0,0,0,0,0,0,0,0,0,0,2018.13636363636
20490,Santiago Texcalcingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20491,Santiago Textitlán,14419,32380,27733,23270,18869,18757,25810,14578,19362,17732,22314,20265,10089,23362,28467,13183,23853,31561,39592,31945,34138,41051,24215
20492,Santiago Tilantongo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20493,Santiago Tillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20494,Santiago Tlazoyaltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247,0,0,0,56.6818181818182
20495,Santiago Xanica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20496,Santiago Xiacuí,4128,471,6291,4036,5075,4842,4678,5204,5632,8628,5628,5363,6219,7518,9000,2777,6886,10173,11368,6066,14288,6288,6389.04545454546
20497,Santiago Yaitepec,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2272727272727
20498,Santiago Yaveo,0,0,0,2431,0,0,0,0,0,0,0,1746,0,65740,3262,0,2421,0,497,8704,5951,0,4125.09090909091
20499,Santiago Yolomécatl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
