CVEGEO,Nombre,APM_1994,APM_1995,APM_1996,APM_1997,APM_1998,APM_1999,APM_2000,APM_2001,APM_2002,APM_2003,APM_2004,APM_2005,APM_2006,APM_2007,APM_2008,APM_2009,APM_2010,APM_2011,APM_2012,APM_2013,APM_2014,APM_2015,APM_2016
20157,San Jacinto Amilpas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20158,San Jacinto Tlacotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20159,San Jerónimo Coatlán,,97683,21934,80105,111715,95097,183973,25855,5500,0,0,6095,0,11206,2419,22083,6594,0,30132,28367,29875,27824,70305
20160,San Jerónimo Silacayoapilla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20161,San Jerónimo Sosola,,0,0,0,0,0,0,0,0,0,0,0,48,0,2971,897,0,0,2909,3419,2795,3168,2774
20162,San Jerónimo Taviche,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163,San Jerónimo Tecóatl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20164,San Jorge Nuchita,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20165,San José Ayuquila,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20166,San José Chiltepec,,0,0,0,0,0,805,398,403,1285,882,4617,141,5202,1475,2815,1658,1633,0,0,0,0,0
20167,San José del Peñasco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20168,San José Estancia Grande,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20169,San José Independencia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170,San José Lachiguiri,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20171,San José Tenango,,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20172,San Juan Achiutla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20173,San Juan Atepec,,0,20174,6739,26136,25189,0,3661,8793,12281,13283,11287,3288,3278,6426,2895,3009,2167,14022,11211,1956,2567,3708
20174,Ánimas Trujano,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20175,San Juan Bautista Atatlahuca,,18306,5892,0,7825,14326,17596,17341,3100,0,1957,0,0,0,0,0,588,0,0,13659,0,0,2762
20176,San Juan Bautista Coixtlahuaca,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177,San Juan Bautista Cuicatlán,,0,0,0,0,0,0,12,64,0,312,590,405,0,113,0,0,330,132,0,342,3380,1532
20178,San Juan Bautista Guelache,,0,0,1934,0,0,0,0,4332,793,0,882,0,0,1999,444,0,0,1033,741,3694,0,0
20179,San Juan Bautista Jayacatlán,,7958,11362,0,0,7282,0,0,766,0,766,0,0,12031,680,0,0,438,7262,8431,7323,6275,8373
20180,San Juan Bautista Lo de Soto,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181,San Juan Bautista Suchitepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
